#Firmware: MS2/Extra 3.4.4 release  20201006 18:17BST(c)KC/JSM/JB    uS
TriggerTime,Time
ms,ms
156.7434,156.7434
246.77795,403.52136
0.09504,403.6164
6.31554,409.93195
0.31482,410.24677
3.12114,413.36792
5.96508,419.333
0.23562,419.56863
0.15444,419.72308
0.48444,420.20752
2.3463,422.55383
0.6468,423.20062
0.79728,423.9979
1.6731,425.671
0.7491,426.4201
2.45124,428.87134
1.11078,429.98212
0.12936,430.11148
0.41646,430.52795
0.13662,430.66458
0.95502,431.6196
0.68178,432.3014
0.13596,432.43735
0.68244,433.11978
0.91014,434.0299
0.31746,434.34738
0.07722,434.4246
1.21638,435.64096
2.60964,438.2506
0.18876,438.43936
0.27258,438.71194
0.68178,439.39374
1.63746,441.0312
0.95436,441.98553
0.8184,442.80392
0.1056,442.90952
0.84942,443.75894
0.81774,444.5767
0.11352,444.69022
0.15972,444.84995
0.95502,445.80496
0.67914,446.4841
0.27522,446.7593
0.1122,446.87152
1.25202,448.12354
0.4092,448.53275
0.95502,449.48776
0.09042,449.5782
0.4554,450.0336
0.27258,450.30618
0.68244,450.98862
0.27324,451.26187
0.05082,451.31268
8.27046,459.58313
0.13596,459.7191
1.50084,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
0.0,461.21994
MARK 000
278.87708,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
0.0,740.09705
