#Firmware: MS2/Extra 3.4.4 release  20201006 18:17BST(c)KC/JSM/JB    uS
ToothTime,Time
ms,ms
18.95454,18.95454
27.57348,46.528023
9.73896,56.266983
8.96544,65.23242
12.17106,77.40348
7.97412,85.3776
7.98732,93.36492
7.83486,101.19978
8.0025,109.202286
8.3094,117.51169
7.22172,124.733406
9.25716,133.99057
5.59284,139.5834
4.30056,143.88397
3.80094,147.6849
11.57376,159.25867
17.7771,177.03577
21.57144,198.60721
18.58296,217.19017
13.2726,230.46277
11.05236,241.51512
9.00174,250.51686
8.72256,259.2394
8.1741,267.4135
6.79338,274.20688
7.36032,281.5672
7.32468,288.89188
6.27858,295.17047
8.47572,303.64618
7.63224,311.2784
8.2863,319.5647
8.18136,327.74606
9.34164,337.0877
11.75394,348.84164
13.1043,361.94595
16.34886,378.2948
13.42242,391.71722
0.0,391.71722
0.0,391.71722
0.0,391.71722
0.0,391.71722
0.0,391.71722
0.0,391.71722
0.0,391.71722
0.0,391.71722
0.0,391.71722
0.0,391.71722
0.0,391.71722
0.0,391.71722
0.0,391.71722
0.0,391.71722
0.0,391.71722
0.0,391.71722
0.0,391.71722
0.0,391.71722
0.0,391.71722
0.0,391.71722
0.0,391.71722
0.0,391.71722
0.0,391.71722
0.0,391.71722
0.0,391.71722
0.0,391.71722
0.0,391.71722
0.0,391.71722
0.0,391.71722
0.0,391.71722
0.0,391.71722
0.0,391.71722
0.0,391.71722
0.0,391.71722
0.0,391.71722
0.0,391.71722
0.0,391.71722
0.0,391.71722
0.0,391.71722
0.0,391.71722
0.0,391.71722
0.0,391.71722
0.0,391.71722
0.0,391.71722
0.0,391.71722
0.0,391.71722
0.0,391.71722
0.0,391.71722
0.0,391.71722
0.0,391.71722
0.0,391.71722
0.0,391.71722
0.0,391.71722
0.0,391.71722
0.0,391.71722
0.0,391.71722
0.0,391.71722
0.0,391.71722
0.0,391.71722
0.0,391.71722
0.0,391.71722
0.0,391.71722
0.0,391.71722
0.0,391.71722
0.0,391.71722
0.0,391.71722
0.0,391.71722
0.0,391.71722
0.0,391.71722
0.0,391.71722
0.0,391.71722
0.0,391.71722
0.0,391.71722
0.0,391.71722
0.0,391.71722
0.0,391.71722
0.0,391.71722
0.0,391.71722
0.0,391.71722
0.0,391.71722
0.0,391.71722
0.0,391.71722
