#Firmware: MS2/Extra 3.4.4 release  20201006 18:17BST(c)KC/JSM/JB    uS
ToothTime,Time
ms,ms
529.027,529.027
32.71422,561.7412
27.46128,589.2025
20.7438,609.9463
17.82924,627.7755
16.96134,644.7369
16.90656,661.64343
17.71506,679.3585
19.2126,698.5711
20.26068,718.8318
18.46218,737.29395
14.81964,752.1136
12.2232,764.3368
10.46232,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
0.0,774.79913
