#Firmware: MS2/Extra 3.4.4 release  20201006 18:17BST(c)KC/JSM/JB    uS
ToothTime,Time
ms,ms
266.24466,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
0.0,266.24466
